crop,soil_type,season,temperature_c,humidity_pct,rainfall_mm,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,soil_moisture_pct,solar_radiation,wind_speed_kmh,field_area_ha,irrigation_needed,disease_risk,fertilizer_rec,yield_tons_ha
Rice,Clay,Rabi,43.5,93.2,2482.9,5.43,24.2,72.1,45.8,27.1,18.4,6.3,19.59,0,High,Urea,4.35
Maize,Red,Zaid,44,69.6,559.3,7.06,113.3,54.4,70.8,50.2,25,20.2,4.13,0,Medium,Balanced NPK,4.92
Rice,Clay,Kharif,39.3,52.7,2473.4,5.44,22.9,30.9,45.8,63.8,21,23.8,40.73,0,High,Urea,4.44
Soybean,Clay,Rabi,24.1,37.4,2447.7,7.35,45.3,72,22.9,30.2,17.6,11.6,29.19,0,Medium,Balanced NPK,2.7
Barley,Alluvial,Kharif,17.9,39.8,2025.8,7.99,121.2,26.9,68.8,38.6,26.2,17.5,12.17,0,Medium,Balanced NPK,2.86
Rice,Red,Kharif,35.5,44.6,1716.7,5.01,55,47.2,46.8,46.7,21.7,18.4,44.79,0,High,Balanced NPK,4.52
Rice,Clay,Zaid,28.2,46.3,1529,7.97,136.5,12.5,20.5,19.4,17.8,16.6,2.74,1,Medium,DAP,4.23
Sugarcane,Laterite,Rabi,18.7,85.3,2192,6.87,137.4,74.1,51.8,11.8,12.2,13.7,10.49,0,High,Balanced NPK,70.47
Cotton,Alluvial,Rabi,29.9,66.5,865.7,5.01,44.9,15.6,31.8,20.7,27.9,22,37.73,0,Low,DAP,1.83
Sugarcane,Alluvial,Kharif,16,64,1275.7,6.21,15.3,21.9,68.3,53.9,10.7,11.2,35.61,0,Low,Urea,69.25
Rice,Alluvial,Zaid,42.3,37.5,1624.6,5.14,101.7,46.9,39,15.2,27.3,1.5,14.82,1,Medium,Balanced NPK,4.36
Tomato,Laterite,Rabi,22.8,85.9,1145.7,7.3,68.6,62.3,59.5,23.3,17.2,21.1,3.57,0,Medium,Balanced NPK,24.72
Cotton,Laterite,Kharif,34.9,77,1183.2,7.54,23.1,51.5,12.2,33.6,22.8,16.8,42.97,0,High,"Urea, MOP",1.91
Barley,Black,Kharif,24.4,34.4,959.7,4.92,102,22.4,34.7,15.5,28.4,21.2,16.03,1,Low,Balanced NPK,2.93
Cotton,Sandy Loam,Kharif,30.6,76,1497.7,6.52,14.1,5.1,78.7,23.4,13,3.5,10.19,0,High,"Urea, DAP",2.08
Rice,Red,Zaid,31.4,65.3,2156.3,7.76,123.1,61.8,65.6,73.8,21.3,0.8,26.05,0,High,Balanced NPK,4.56
Barley,Sandy Loam,Zaid,20.5,35.3,663.5,8.24,28,78.9,17,11.4,25.3,23.4,45.56,1,Low,"Urea, MOP",2.13
Rice,Alluvial,Kharif,44.1,59.8,2349.2,6.55,26.6,65.7,25.8,55.7,25.2,3.7,2.66,0,High,Urea,5.17
Rice,Clay,Kharif,38.3,61.5,1784.9,8.3,32.8,39.5,29.7,36.9,20.5,20.2,38.41,0,Medium,Urea,4.43
Rice,Alluvial,Zaid,43.2,40.8,2093.5,6.64,134.8,72.8,53.8,57.1,22.5,20.6,28.84,0,High,Balanced NPK,4.42
Maize,Clay,Kharif,41.8,91.5,1479.2,6.08,100.1,35.7,61.8,51.2,25.2,17.7,21.56,0,High,Balanced NPK,4.99
Rice,Black,Kharif,32.9,85.2,1992.9,7.89,114.2,44.4,61.2,25.6,26.8,3.3,37.33,0,High,Balanced NPK,4.38
Tomato,Sandy Loam,Zaid,42.7,73.5,237.3,6.47,61.7,40.8,43.2,69.3,25.2,16.7,48.31,0,High,Balanced NPK,24.7
Sugarcane,Alluvial,Kharif,17.7,60,2082.3,6.39,53.7,38.6,65.8,44.4,17.1,22.2,11.85,0,Medium,Balanced NPK,69.93
Wheat,Sandy Loam,Kharif,20.9,56.8,292.3,6.46,40.5,63.1,37.8,67.6,29.9,10.6,7.61,0,Low,Balanced NPK,3.14
Barley,Black,Kharif,16.4,72.3,2246.8,7.89,72.5,44.5,14.3,38.4,18.7,10.3,45.69,0,High,MOP,2.75
Tomato,Sandy Loam,Zaid,24.8,65.5,2481.5,7.83,81.7,28.8,47.3,78.9,10.5,11.1,33.61,0,Medium,Balanced NPK,24.11
Tomato,Clay,Zaid,26.7,34,876.4,6.11,92.1,24.4,76.4,63.9,17.3,2.1,22.18,0,Low,Balanced NPK,24.95
Potato,Red,Zaid,23.1,63.3,683.7,5.83,43.4,7.8,64.5,77.6,12.6,22.3,28.88,0,Low,DAP,19.51
Rice,Black,Rabi,39.9,82.4,1960.3,6.47,133.3,48.7,48.4,46,12.4,21.7,37.41,0,High,Balanced NPK,4.38
Soybean,Sandy Loam,Rabi,25.7,59.9,782,6.79,32.1,22.2,53.5,43.2,15.6,24.9,38.77,0,Low,Urea,2.55
Sugarcane,Alluvial,Rabi,23.4,33.4,2190.8,5.45,135.5,16.1,74.8,62.9,11.1,14.6,46.03,0,Medium,DAP,70.11
Groundnut,Laterite,Rabi,31.3,81.1,436.5,7.68,11.9,54,37.1,71.6,23.8,18.8,21.63,0,High,Urea,1.83
Wheat,Laterite,Zaid,19.2,43.1,489.7,6.45,72.5,56.1,29.9,77.5,11.5,5.1,15.02,1,Low,Balanced NPK,3.23
Rice,Black,Kharif,39.1,46.8,2452,5.84,53.3,61.4,78.3,32.7,14.1,16.7,32.16,0,High,Balanced NPK,4.32
Sugarcane,Laterite,Zaid,17.2,40.7,1749.8,4.93,68.4,42.8,69.8,65.9,11.9,16.2,21.08,0,Medium,Balanced NPK,69.07
Rice,Red,Rabi,44.6,51.5,2147.8,5.46,84.2,72.1,29.2,24.7,11.3,22.5,29.93,1,Medium,Balanced NPK,3.97
Tomato,Black,Zaid,38.2,79.2,946,8.3,66.6,75.2,39.8,48.2,15.4,20.8,21.29,0,High,Balanced NPK,24.84
Sugarcane,Alluvial,Kharif,21,63.8,1755.9,5.72,63.9,65.6,36.1,22.6,21.4,23.5,8.07,0,Medium,Balanced NPK,69.46
Sugarcane,Alluvial,Rabi,15.2,43.3,1566.8,5.18,105.3,52.7,16.2,34.3,29.3,21.7,23.74,0,Low,MOP,69.37
Rice,Black,Kharif,39.5,87.1,1587.2,6.34,99.2,27.8,76.8,75.2,27.5,21.7,34.7,0,High,Balanced NPK,4.89
Rice,Laterite,Kharif,36.2,87.2,1769.8,5.73,118.3,78.7,35.3,20.2,27.5,1.6,40.06,0,High,Balanced NPK,4.61
Rice,Laterite,Kharif,36.9,86.6,1523.3,4.64,42.5,25.6,70.6,54.3,13.5,21.1,24.92,0,High,Balanced NPK,4.08
Maize,Alluvial,Rabi,38.1,45.5,1186.8,5.79,89.2,20.2,19.2,51.5,15.3,15.2,8.68,0,Medium,MOP,4.78
Barley,Red,Zaid,17.2,59.3,834.6,6.68,86.1,38.2,46.1,18.5,11.5,9.5,21.03,0,Low,Balanced NPK,3.12
Rice,Clay,Rabi,25.8,94,1967.7,6.71,58.1,9.3,6.8,32.8,25.6,1.4,39.42,0,High,"DAP, MOP",4.43
Barley,Laterite,Rabi,18.5,80.2,720.4,5.93,73.2,78.4,62.3,49.4,11.4,16.9,20.94,0,Medium,Balanced NPK,2.67
Rice,Red,Zaid,40.9,31.8,1792.4,6.29,50.8,49.1,48.6,23.1,21.1,8.2,34.98,1,Medium,Balanced NPK,4.7
Soybean,Laterite,Zaid,33.7,34.2,736.7,8.36,28.4,46.8,51.9,66,15,11.7,25.61,0,Medium,Urea,2.41
Sugarcane,Clay,Zaid,24.9,60.2,1638.3,6.01,37.8,54.2,8.9,78.1,14.9,17,12.44,0,Low,"Urea, MOP",69.8
Sugarcane,Black,Zaid,16.9,89.1,1918.3,5.53,23.7,42.3,20.8,25,29.8,22.8,39.91,0,High,Urea,69
Barley,Sandy Loam,Kharif,24.3,65,703,5.47,98.8,7.4,10.6,23.1,25.1,20.6,4.67,0,Low,"DAP, MOP",2.62
Wheat,Alluvial,Rabi,24.8,62.4,337.9,6.33,95.9,50.9,26.7,41.8,26.7,11.3,26.48,0,Low,Balanced NPK,3.21
Maize,Black,Rabi,36.9,36.9,501.2,7.54,133.6,58.7,52.1,62.3,21.4,9.7,10.84,1,Medium,Balanced NPK,5.31
Rice,Laterite,Rabi,34.1,72.7,1593.8,5.32,104.9,36.3,47.5,29.7,27.4,6,3.82,0,High,Balanced NPK,4.57
Rice,Clay,Zaid,41.6,83.4,2153.7,7.34,16.8,61.8,50.9,11.4,22.9,9.3,25.4,0,High,Urea,4.47
Groundnut,Alluvial,Rabi,29.2,54.7,303.5,4.58,125,22,46.2,47.9,28.9,2.8,25.23,0,Low,Balanced NPK,1.75
Sugarcane,Sandy Loam,Kharif,18.6,80.4,1888.5,6.18,122.1,21.6,25.5,77,15.6,24.3,35.49,0,High,Balanced NPK,70.12
Tomato,Sandy Loam,Rabi,36.4,92.7,985,7.6,67.6,17.1,23.3,37.4,21.9,14.3,37.37,0,High,DAP,25.12
Maize,Clay,Rabi,37.8,43.2,1300.6,5.85,86.2,32.9,15.3,39.4,23.8,3.2,36.53,0,Medium,MOP,5.31
Rice,Clay,Kharif,31.8,64,2336.4,6.75,136.9,68.5,68.7,77.8,17.9,8.8,20.77,0,High,Balanced NPK,4.85
Barley,Laterite,Kharif,38.1,48.7,963.5,5.32,79.2,67.1,51.2,58.6,27.6,13.7,31.77,0,Medium,Balanced NPK,3.02
Tomato,Alluvial,Rabi,29.8,81.5,1270.3,7.47,127.7,33.7,19,60.3,29.6,13.3,29.06,0,Medium,MOP,25.22
Groundnut,Laterite,Zaid,30.7,67.5,231.5,4.71,20.8,49.2,18.3,49.4,19.9,0.9,21.37,0,Medium,"Urea, MOP",2.09
Wheat,Sandy Loam,Zaid,27.8,71.2,387.7,7.91,34.8,59.1,70.5,78.2,17.8,23.8,30.06,0,Medium,Urea,3.2
Potato,Black,Rabi,15.8,81.9,794.8,5.29,67.3,23.1,60.7,58.2,19.4,6.9,47.39,0,Medium,Balanced NPK,20.02
Wheat,Black,Rabi,18.2,55.7,264.1,8,86,17.6,54.5,72.7,27.1,0.4,10.05,0,Low,DAP,3.17
Sugarcane,Red,Rabi,15.9,89.5,1652.2,5.91,116.1,77.9,35.5,59,22.9,1.9,45.34,0,High,Balanced NPK,70.41
Maize,Sandy Loam,Rabi,34.1,64.6,1180.7,7.39,138.5,51.3,24.6,61.5,10.9,14.5,3.15,0,Medium,Balanced NPK,5.3
Sugarcane,Sandy Loam,Zaid,24.4,40.3,1460.7,5.78,60.6,78.6,78.5,30.3,20.8,3.4,15.77,0,Low,Balanced NPK,69.22
Cotton,Laterite,Rabi,30.3,75.2,601.7,8.12,16.2,30.3,64.8,31.2,10.3,1,14.76,0,High,Urea,2.1
Maize,Red,Kharif,42.2,81.6,880.6,5.01,114.2,57.7,27.6,64.8,25.6,9.5,31.51,0,High,Balanced NPK,4.98
Sugarcane,Clay,Zaid,22.5,50.6,1726.8,5.21,88.6,21.7,68.6,30.8,16.6,15.6,7,0,Medium,Balanced NPK,70.14
Rice,Red,Zaid,27.3,85.7,2420.2,6.47,35.8,24.6,61.9,49.4,19.4,2.8,44.18,0,High,Urea,4.85
Cotton,Alluvial,Kharif,37.7,88.9,316,4.83,74.3,43.4,27.3,27.5,26,7.8,41.51,1,High,Balanced NPK,1.48
Sugarcane,Laterite,Rabi,21.9,48,2247.9,5.28,106.5,29,37,67.2,10.9,10.4,32.78,0,Low,Balanced NPK,69.92
Barley,Clay,Rabi,17.3,93.9,1526.8,8.28,110.2,17.6,18.9,17.7,13.2,4,23.19,0,High,"DAP, MOP",2.23
Tomato,Clay,Rabi,23.7,39.1,1497,8.41,75,24.7,13.3,68.1,18,12.7,46.68,0,Low,MOP,24.65
Sugarcane,Black,Rabi,19.8,43.1,1350.6,6.01,49.7,7.7,59.2,52.2,14.6,2.1,41.62,0,Low,DAP,69.67
Maize,Alluvial,Rabi,42.9,42,359.6,8.19,136.6,57.8,25.1,23.1,16.8,1.2,25.22,1,Medium,Balanced NPK,5.26
Maize,Red,Kharif,39.2,88.1,406.7,6.68,96.2,41.9,66.5,47.9,30,13,35.24,0,High,Balanced NPK,5.03
Rice,Black,Rabi,34,72.5,1582.1,5.58,63.1,12.1,79.7,29.8,26.5,6.2,28.56,0,High,DAP,4.6
Cotton,Sandy Loam,Kharif,41.1,39.9,984.2,7.31,46.5,17.9,10.7,32.6,27.7,2.4,29.6,0,Medium,"DAP, MOP",1.57
Rice,Laterite,Kharif,39.1,58.6,2309.7,7.14,105,12.7,40.5,34.6,28.7,10.6,16.88,0,High,DAP,4.5
Soybean,Red,Kharif,20.6,70,1135.2,8.46,41.5,50.9,65.2,14.4,16.8,22.9,23.37,0,Low,Balanced NPK,2.29
Groundnut,Sandy Loam,Rabi,41.8,35.4,529.5,5.56,32.3,12.1,64.2,79,15.9,18.1,4.37,1,Medium,"Urea, DAP",2.06
Rice,Clay,Rabi,31.2,87.4,1843.9,7.19,78.9,61.6,62,12.2,14.7,20.4,18.19,0,High,Balanced NPK,4.9
Soybean,Red,Zaid,39.2,82.2,874.7,4.71,47.7,6.5,31.2,56.4,26.6,21.8,34.94,0,High,DAP,2.45
Maize,Black,Zaid,41.9,62.8,1408.6,4.95,91.8,23.7,39,36,23.6,24.3,47.68,0,Medium,Balanced NPK,4.56
Sugarcane,Alluvial,Kharif,24.5,92.9,1805,4.52,25.3,71.8,49.6,55.2,14.7,19.1,48.17,0,High,Urea,68.84
Barley,Black,Zaid,18.3,57.2,2270.6,8.5,95.1,58.9,78,34.9,17.5,15.2,28.01,0,Medium,Balanced NPK,2.99
Potato,Laterite,Kharif,21.8,94,2022,7.71,46.8,10.5,29.6,57.2,20.1,9.1,30.53,0,High,DAP,19.52
Rice,Laterite,Zaid,27.8,73.4,1755.6,7.65,10,66.6,74.2,61,20.6,4.5,9.69,0,High,Urea,4.8
Rice,Red,Rabi,39.5,71.3,1763.2,6.54,26.5,42,25.2,58.3,27.8,17.2,34.92,0,High,Urea,4.29
Rice,Black,Rabi,40.8,40.8,2375.6,5.7,131.4,68.5,79.2,18,17.6,24.9,4,1,High,Balanced NPK,4.29
Potato,Alluvial,Kharif,15.2,87.3,880.4,5.11,122.8,50.1,55.3,56,28.2,11.7,14.59,0,Medium,Balanced NPK,19.47
Cotton,Clay,Kharif,30.3,57.8,202.6,5.64,40.4,56.1,39.8,29.6,18.8,18.1,33.58,1,Medium,Balanced NPK,1.86
Barley,Laterite,Rabi,27.5,40.5,825.5,6,111.2,79.5,51,12,24.9,12.4,15.86,1,Low,Balanced NPK,3.35
Tomato,Alluvial,Rabi,21.7,30.8,701.2,7.53,89.1,22.4,25.4,39,28.6,10.8,2.97,0,Low,Balanced NPK,25.03
Sugarcane,Sandy Loam,Rabi,18.6,66.4,1722.2,6.66,136.2,51.8,25.6,40.3,28.2,10.3,41.68,0,Medium,Balanced NPK,70.39
Rice,Red,Zaid,25.1,64.3,1657.5,4.81,58.6,39.5,13.5,42.7,11.1,12.6,15.86,0,Low,MOP,4.61
Rice,Alluvial,Zaid,43.3,76.8,1565,4.57,98.6,8,13.6,59.3,14.1,9.2,3.62,0,High,"DAP, MOP",4.71
Wheat,Red,Zaid,24.7,87.9,237.4,4.91,18.3,6.1,31.1,31.6,19.5,18.7,4.2,0,Medium,"Urea, DAP",3.49
Rice,Sandy Loam,Zaid,30.6,35.2,1876.2,6.14,61.5,13.9,62.2,32.1,18.6,21.9,12.96,0,High,DAP,4.11
Maize,Alluvial,Kharif,36.1,77.5,944.1,8.23,135.3,53.7,50.6,14.2,22.8,22.1,9.31,0,High,Balanced NPK,5.47
Rice,Alluvial,Kharif,25.9,42.2,1729.6,7.05,80.1,47.5,12.7,58.1,28.9,5.7,38.83,0,Medium,MOP,4.56
Soybean,Clay,Zaid,44.2,85.8,1480.1,7.71,47.4,46.5,68.9,49.7,12.2,22.4,16.42,0,High,Balanced NPK,3
Cotton,Sandy Loam,Kharif,43.9,83.2,988.3,6.37,25.6,7.4,50.1,34.5,19,8.5,40.33,0,High,"Urea, DAP",1.83
Wheat,Black,Zaid,22.6,65.2,509.5,5.95,101.5,40.2,77.1,59.4,13.8,7.7,9.11,0,Low,Balanced NPK,3.38
Groundnut,Alluvial,Zaid,29.9,76.2,417.2,4.93,93.8,74.3,55.3,47.6,27.9,18.2,24.9,0,Medium,Balanced NPK,1.71
Soybean,Clay,Rabi,24,50.4,2112.5,8,58.6,34.8,18.1,42.8,29.3,7.6,34.56,0,Medium,MOP,2.77
Tomato,Alluvial,Zaid,23.5,60.6,2312.3,7.63,133.6,51.9,40.5,45.8,19.6,1.3,32.77,0,Medium,Balanced NPK,24.76
Sugarcane,Clay,Kharif,16.1,83.4,1694.5,5.17,12.9,63.5,53.6,54.5,12.1,9.3,30.26,0,High,Urea,68.96
Groundnut,Laterite,Zaid,33.3,59.9,437.9,6.55,49.5,63.8,7.1,56.2,25.7,18,46.28,0,Medium,MOP,1.86
Maize,Black,Rabi,30.1,53.3,1124.7,6.45,129.7,43.9,6.1,30.2,23.9,8.2,11.81,0,Medium,MOP,5.01
Soybean,Alluvial,Kharif,16.5,62.1,1876.6,7,51.7,69.3,14.7,19.9,17.1,15.7,24.94,0,Medium,MOP,2.81
Soybean,Sandy Loam,Rabi,23.4,83.8,1993.6,8.28,42.8,34.4,23.9,21,27.7,16.5,44.26,1,High,Balanced NPK,2.36
Tomato,Red,Zaid,42.2,51.8,471.9,6.82,79.4,71.7,37.2,54.8,29.5,18.3,4.36,0,Medium,Balanced NPK,25.31
Wheat,Sandy Loam,Zaid,22.2,41.3,200.1,6.66,117.1,23,41.6,71.1,21.2,22.4,3.27,1,Low,Balanced NPK,3.1
Sugarcane,Black,Zaid,19.3,76.3,1837.9,4.7,23.4,26,15.4,38.7,21.3,10.8,12.05,0,High,"Urea, MOP",68.87
Cotton,Laterite,Zaid,29.7,83.7,1020.2,4.75,132.6,9,55.5,21.9,16,4.2,31.83,0,Medium,DAP,2.45
Maize,Laterite,Kharif,44.6,36.5,785.3,5.25,113.4,64.7,49.7,63,21.7,8,13.36,0,Medium,Balanced NPK,5.03
Wheat,Laterite,Zaid,22.3,45.6,229.7,4.63,33.6,36.3,27.1,68.3,18.8,10.8,9.92,1,Low,Urea,3.13
Maize,Clay,Rabi,35.2,39.2,1442.7,7.47,102.6,22.2,6,71.6,16,17.8,23.21,0,Medium,MOP,5.04
Rice,Sandy Loam,Kharif,37.8,52.6,2157.6,7.39,60,22.4,10.8,52.5,11.3,0.3,30.87,0,High,MOP,4.37
Sugarcane,Red,Kharif,22.1,59.3,2402.6,5.04,62.3,72.6,34.4,70.3,15.1,7.9,12.8,0,Low,Balanced NPK,69.07
Rice,Red,Kharif,36.8,78.7,1501.2,7.84,111.8,67.5,16.5,11.1,14,19.5,15.38,0,High,MOP,5.11
Sugarcane,Clay,Rabi,26,72.3,1383.3,5.12,135.2,46.5,33.3,17.5,20.8,16.8,30.87,0,Medium,Balanced NPK,70.04
Cotton,Alluvial,Rabi,34,70.4,395.6,5.7,26.5,51.2,52.1,16.5,22,18.3,47.31,1,High,Urea,1.32
Sugarcane,Clay,Rabi,34,52.9,1462.4,5.5,64.7,40.6,46,59.9,22.2,20.3,33.9,0,Medium,Balanced NPK,69.5
Cotton,Red,Rabi,31.1,84.7,1074,5.99,72.5,34.4,22.3,14.9,17.8,19.6,39.25,0,High,Balanced NPK,1.9
Sugarcane,Red,Zaid,17.7,60.6,1596.4,5.52,58.9,73.7,30.8,44.7,18.4,17.1,18.66,0,Medium,Balanced NPK,69.43
Soybean,Alluvial,Zaid,40.1,93.6,1094.1,6.46,57.2,14.4,51.1,43.1,26.7,11,13.98,0,High,DAP,2.48
Soybean,Sandy Loam,Rabi,24.6,71.2,752.7,6.13,16.8,36.4,69.6,31.7,19.5,24.6,22.99,0,Medium,Urea,2.42
Wheat,Sandy Loam,Rabi,20.6,38.2,418.4,8.45,99.1,30.8,61.5,70.9,29.8,14.2,40.45,1,Low,Balanced NPK,3.31
Barley,Black,Zaid,16.2,74,924.3,4.72,66.7,42.4,46.5,21.9,18.8,5.1,23.09,0,Medium,Balanced NPK,3.02
Cotton,Sandy Loam,Zaid,32.7,51.1,422.3,5.07,35.3,39.3,32.2,34.7,23,7.3,42.41,0,Medium,Urea,1.72
Maize,Laterite,Rabi,35.3,74.6,606.9,4.71,116.1,43.9,32.4,64.2,11,17.3,49.44,0,High,Balanced NPK,5.76
Barley,Laterite,Kharif,15.5,34.5,2470.9,7,114.3,15.5,71,12.1,23.1,23.1,4.07,1,Medium,DAP,3.12
Sugarcane,Black,Kharif,30.4,41.4,1221.4,4.72,73.2,43.5,7.9,57.1,27,4.5,2.75,0,Medium,MOP,69.36
Potato,Red,Rabi,21.8,85.6,1423.3,7.85,48.8,23.2,79.1,67.1,28.8,2.1,7.9,0,Medium,Balanced NPK,19.39
Rice,Black,Kharif,34.4,44.8,2209.3,6.55,93,18.8,54.8,75.3,29.9,22,19.53,0,Medium,DAP,4.55
Sugarcane,Alluvial,Zaid,20.2,84.4,2489.8,6.61,47.5,9.9,56.1,71.3,15.6,22.9,6.99,0,High,DAP,69.93
Rice,Black,Kharif,35.7,48.2,1540.2,6.75,40.7,62.2,7.8,32.4,21.5,6.9,43.6,0,Medium,MOP,4.72
Rice,Black,Rabi,26.6,71.8,2068.7,5.18,105,37.1,50.4,51,19,9.4,1.65,0,High,Balanced NPK,3.94
Cotton,Clay,Kharif,43.1,75.1,952,5.29,15.2,52,41.4,15.4,21.3,16.5,16.13,0,High,Urea,1.81
Soybean,Laterite,Kharif,19.1,63.3,903.2,5.78,22.3,59.6,12.9,28.1,13.1,8.2,9.64,0,Low,"Urea, MOP",2.33
Soybean,Alluvial,Kharif,25.2,49.8,1126.2,6.87,10.9,55.9,25.8,16.6,27.1,21.9,46.61,1,Low,Urea,2.92
Sugarcane,Clay,Zaid,18.4,43.8,1746.8,5.34,29.9,40.3,71.8,32.1,28.2,2.7,33.64,0,Medium,Urea,69.16
Rice,Alluvial,Zaid,42.7,32.2,1769,4.97,19,34.1,46.2,71.3,19,0.9,45.65,0,Medium,Urea,3.74
Maize,Black,Zaid,41.3,49.8,925.1,8.38,139.5,33.2,36,34.3,15.6,5.2,48.63,0,Medium,Balanced NPK,5.11
Wheat,Clay,Rabi,22.7,72.5,506.4,4.59,47.5,53,10.5,49.3,12.8,7.2,25.11,0,Medium,MOP,2.57
Rice,Clay,Kharif,34.8,91,1654.5,7.71,29.4,42.1,58.6,40.3,23.7,2.8,12.1,0,High,Urea,4.58
Groundnut,Alluvial,Zaid,39.5,86.6,495.1,7.65,41.3,68.7,57.7,42.1,16.2,1.6,10.09,0,High,Balanced NPK,2.75
